City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
3932145,Pisco,0,PE,1612289135,73,-13.7,-76.2167,75.99,9.22
3069465,Nové Město na Moravě,100,CZ,1612289136,91,49.5614,16.0742,32,1.99
1229989,Point Pedro,71,LK,1612289137,76,9.8167,80.2333,78.15,16.33
2012956,Yerbogachën,21,RU,1612289139,82,61.2767,108.0108,-36.69,3.98
1510689,Baykit,100,RU,1612289140,86,61.67,96.37,-8.07,3
3622537,Parrita,40,CR,1612289142,64,9.5201,-84.3225,80.6,23.02
2446796,Bilma,0,NE,1612289143,22,18.6853,12.9164,69.57,8.55
3374333,Praia,0,CV,1612289145,53,14.9215,-23.5087,77,18.41
3491355,Black River,75,JM,1612289147,83,18.0264,-77.8487,78.01,13.8
2037252,Genhe,48,CN,1612289002,81,50.7833,121.5167,-33.92,2.64
2192362,Christchurch,90,NZ,1612288861,82,-43.5333,172.6333,61,11.5
3571913,Marsh Harbour,63,BS,1612289152,70,26.5412,-77.0636,58.69,33.17
2181625,Te Anau,71,NZ,1612288876,90,-45.4167,167.7167,53.56,0.69
2027316,Ayan,100,RU,1612289155,72,56.45,138.1667,-26.91,13.09
3832899,Viedma,88,AR,1612289155,22,-40.8135,-62.9967,88,11.1
700371,Nedryhayliv,82,UA,1612289156,98,50.834,33.8763,23.31,2.71
1521153,Mamlyutka,100,KZ,1612289157,98,54.9375,68.5394,26.8,18.61
5418104,Cortez,90,US,1612289158,70,37.3489,-108.5859,42.8,1.36
1254709,Tezu,5,IN,1612289158,42,27.9167,96.1667,61.09,3.83
2293428,Adiaké,20,CI,1612289159,84,5.2863,-3.304,84.2,10.36
1714733,Dingle,95,PH,1612289159,92,10.9995,122.6711,74.25,8.57
1809061,Jiaojiang,19,CN,1612289160,87,28.6803,121.4428,48,3.67
7601762,Bairiki Village,75,KI,1612289161,83,1.3292,172.9752,78.8,9.22
3412093,Vestmannaeyjar,20,IS,1612289162,80,63.4427,-20.2734,35.6,31.07
3988392,Rosarito,75,MX,1612289163,63,32.3333,-117.0333,66.2,9.22
3401148,Cururupu,62,BR,1612289165,56,-1.8283,-44.8683,87.82,8.48
2090021,Namatanai,100,PG,1612289166,90,-3.6667,152.4333,77.45,11.16
60019,Eyl,3,SO,1612289167,62,7.9803,49.8164,72.88,16.67
2055868,Yantal',96,RU,1612289168,83,56.8471,105.2542,-19.68,3.69
5517061,Big Spring,1,US,1612289170,25,32.2504,-101.4787,63,19.57
945945,Upington,40,ZA,1612288888,44,-28.4478,21.2561,80.6,8.05
1486321,Yar-Sale,99,RU,1612289171,94,66.8333,70.8333,2.8,8.08
2646057,Ipswich,20,GB,1612289172,93,52.0592,1.1555,48.99,9.22
244878,Biltine,0,TD,1612289174,16,14.5333,20.9167,79.72,9.51
5554428,Ketchikan,75,US,1612289174,100,55.3422,-131.6461,32,4.79
1282898,Pokhara,0,NP,1612289175,44,28.2333,83.9833,51.6,4.65
1283285,Jumla,0,NP,1612289177,75,29.2747,82.1838,34.59,3.11
236950,Obo,54,CF,1612289178,30,5.3998,26.4869,79.57,1.9
3386213,Touros,40,BR,1612289181,62,-5.1989,-35.4608,86,17.27
4269392,Chanute,1,US,1612289181,65,37.6792,-95.4572,42.8,6.91
2142316,Yeppoon,75,AU,1612288914,78,-23.1333,150.7333,77,3.44
2409215,Mattru,31,SL,1612289183,49,7.6244,-11.8332,89.1,8.84
1264976,Leh,92,IN,1612289184,63,34.1667,77.5833,8.42,0.18
236901,Ouadda,36,CF,1612289184,20,8.0777,22.4007,83.35,2.66
934479,Grand Gaube,2,MU,1612289185,77,-20.0064,57.6608,80.01,8.99
236524,Rafai,50,CF,1612289186,30,4.95,23.9167,80.08,1.88
630166,Berëzovka,100,BY,1612289186,98,53.7214,25.4993,26.67,13.02
3377301,Mabaruma,95,GY,1612289187,73,8.2,-59.7833,80.24,6.98
876177,Luau,94,AO,1612289188,95,-10.7073,22.2247,68.07,3.91
2467914,Korbous,20,TN,1612289189,67,36.8167,10.5687,60.8,13.8
2428231,Massaguet,0,TD,1612289191,10,12.4755,15.4365,86,9.22
1801180,Maoming,0,CN,1612288911,80,21.65,110.9,63.09,6.62
3141667,Roald,0,NO,1612289194,74,62.5833,6.1333,24.8,9.22
1861280,Itoman,40,JP,1612289159,55,26.1247,127.6694,60.8,13.8
64814,Bandarbeyla,39,SO,1612289197,69,9.4942,50.8122,74.16,19.6
2038118,Zhaoyang,5,CN,1612289198,87,42.682,126.0305,-10.5,7.74
2639083,Tighnabruaich,100,GB,1612289200,92,55.9016,-5.2398,37,7
6173361,Vanderhoof,100,CA,1612289201,91,54.0166,-124.0198,2.59,5.32
778707,Mehamn,75,NO,1612289202,63,71.0357,27.8492,26.6,23.02
286987,Nizwá,0,OM,1612289203,30,22.9333,57.5333,60.57,2.48
4005870,General Cepeda,75,MX,1612289207,41,25.3833,-101.45,60.8,3.85
6316343,Alta Floresta,40,BR,1612289208,55,-9.8756,-56.0861,91.4,2.3
1259019,Rāhuri,0,IN,1612289208,23,19.3833,74.65,70.43,4.97
5486795,Raton,1,US,1612289210,26,36.9034,-104.4391,55.4,3.44
2577162,Gaoua,0,BF,1612289210,12,10.2992,-3.2508,88.21,2.71
72181,Marzuq,10,YE,1612289211,32,14.4,46.4667,60.22,0.83
3664980,Boa Vista,75,BR,1612289211,51,2.8197,-60.6733,87.8,14.97
692315,Sudak,92,UA,1612289212,83,44.85,34.9667,50.77,6.89
1649150,Bengkulu,99,ID,1612289213,88,-3.8004,102.2655,76.28,4.92
665196,Ţibana,1,RO,1612289214,93,46.9833,27.3333,28.4,9.22
1705572,Lopez,27,PH,1612289214,83,13.8844,122.2642,73.99,9.62
2125693,Evensk,100,RU,1612289215,93,61.95,159.2333,1.29,4.88
2264923,Peniche,100,PT,1612289216,80,39.3558,-9.3811,57,17
1490796,Strezhevoy,90,RU,1612289217,92,60.7333,77.5889,15.8,11.18
3104324,Zaragoza,0,ES,1612289218,51,41.6561,-0.8773,62.6,19.57
1706466,Ligayan,56,PH,1612289220,82,4.6533,119.4706,81.23,9.93
5703673,Elko,1,US,1612289220,42,41.0002,-115.5012,46.4,4.61
3836277,Santa Fe,88,AR,1612289221,94,-31.6333,-60.7,69.01,4
508362,Podgornoye,90,RU,1612289222,93,51.735,39.1496,26.6,6.71
6149996,Smithers,90,CA,1612289223,93,54.7804,-127.1743,24.8,2.3
2032614,Baruun-Urt,1,MN,1612289225,83,46.6806,113.2792,-13.76,8.25
3662927,Pauini,47,BR,1612289226,65,-7.7136,-66.9764,88.54,3.15
498001,Sebezh,100,RU,1612289227,92,56.2955,28.4654,22.15,13.04
3980782,Ures,94,MX,1612289229,35,29.4333,-110.4,75,1.01
3137344,Søvik,0,NO,1612289230,50,65.9333,12.4667,24.8,11.5
3108125,Teruel,0,ES,1612289231,58,40.6667,-0.6667,60.8,10.36
2422968,Boffa,0,GN,1612289232,53,10.1667,-14.0333,83.52,10.11
2312895,Mbandaka,72,CD,1612289234,62,0.0487,18.2603,82.49,1.92
3115824,Muros,100,ES,1612289235,92,42.7762,-9.0603,57.99,7
3860259,Córdoba,40,AR,1612289236,60,-31.4135,-64.1811,69.8,11.5
5527953,Pampa,1,US,1612289237,30,35.5362,-100.9599,57.2,6.91
1633419,Padang,40,ID,1612289237,94,-0.9492,100.3543,77,1.14
3461733,Guiratinga,86,BR,1612289238,44,-16.3494,-53.7583,92.17,4.34
2128025,Shizunai-furukawachō,99,JP,1612289081,88,42.3339,142.3669,17.24,24.74
1488903,Turukhansk,100,RU,1612289239,91,65.8167,87.9833,-3.48,9.73
482986,Tim,90,RU,1612289239,86,51.6222,37.1244,24.8,6.71
103630,Najrān,0,SA,1612289240,32,17.4924,44.1277,68,6.91
1261309,Nipāni,0,IN,1612289240,34,16.4,74.3833,71.2,5.23
3372783,Ponta Delgada,20,PT,1612289241,67,37.7333,-25.6667,57.2,24.16
3687238,Cartagena,40,CO,1612289006,74,10.3997,-75.5144,84.2,13.8
